name,risk_pct,blocked_sessions,session_rr,rr_default,one_at_a_time,h1_filter,cooldown,time_exit_min,atr_sl_mult,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,avg_win,avg_loss,avg_r_multiple,max_consecutive_losses,best_trade,worst_trade
A3_H1False_CD2_TE210_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,210,1.5,[],258.47,25847.32,1699,34.9,1.06,27348.26,56.68,718.38,361.8,0.0739,21,2243.84,-960.83
A3_H1False_CD0_TE210_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,210,2.0,[],255.38,25537.76,1931,36.77,1.06,24423.38,52.8,629.82,345.32,0.0703,19,2080.54,-924.6
A3_H1True_CD0_TE0_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,0,1.5,[],255.16,25516.09,1187,33.61,1.13,11527.9,27.18,543.63,242.88,0.0905,37,2015.42,-820.8
A3_H1False_CD0_TE0_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,0,1.5,[],252.96,25296.19,1931,33.04,1.05,27108.08,57.71,832.34,391.13,0.0694,37,2216.97,-938.79
A3_H1True_CD0_TE360_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,360,1.5,[],243.44,24344.11,1187,34.12,1.12,11193.14,27.26,545.14,251.2,0.0888,37,1948.24,-794.4
A3_H1False_CD0_TE360_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,360,1.5,[],238.54,23854.29,1931,33.51,1.05,28782.04,63.84,808.38,388.76,0.0688,37,2122.91,-901.29
A3_H1True_CD4_TE210_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,210,2.0,[],232.11,23210.84,1058,37.15,1.11,14440.15,32.2,615.18,328.66,0.0924,16,2026.74,-896.59
A3_H1True_CD0_TE120_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,120,2.0,[],229.93,22993.38,1187,41.28,1.1,18399.47,40.65,537.08,344.58,0.0814,25,2105.71,-903.54
A3_H1False_CD0_TE360_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,360,2.0,[],228.25,22824.52,1931,34.44,1.06,19827.44,44.16,606.69,300.65,0.0701,24,1951.63,-897.62
A3_H1True_CD4_TE120_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,120,2.0,[],223.01,22300.9,1085,41.38,1.1,17078.49,34.59,554.45,356.36,0.0845,32,2297.14,-986.21
A4_BD4,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[4],222.76,22276.17,868,35.71,1.15,14276.46,33.71,546.77,263.84,0.1035,30,1938.21,-846.64
A3_H1False_CD2_TE210_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,210,2.0,[],217.3,21730.36,1683,37.02,1.06,20643.66,49.89,579.91,320.34,0.0705,18,1865.31,-827.06
A2_EU2.5_AS3.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 3.0}",2.0,False,True,2,210,1.5,[],213.2,21320.02,1113,32.35,1.1,16445.69,39.31,651.86,283.33,0.0941,27,2240.91,-836.4
A3_H1False_CD0_TE210_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,210,1.5,[],190.17,19016.52,1931,34.44,1.04,27690.52,71.51,723.4,364.97,0.0644,27,1827.32,-771.51
